layer,bbq_correct,bbq_accuracy
1,148,0.49333333333333335
2,150,0.5
3,149,0.49666666666666665
4,161,0.5384615384615384
5,150,0.5016722408026756
6,153,0.5117056856187291
7,162,0.5418060200668896
8,154,0.5150501672240803
9,145,0.48494983277591974
10,150,0.5016722408026756
11,172,0.5752508361204013
12,150,0.5016722408026756
13,155,0.5183946488294314
14,155,0.5183946488294314
15,161,0.5384615384615384
16,161,0.5384615384615384
17,163,0.5451505016722408
18,159,0.5317725752508361
19,161,0.5384615384615384
20,158,0.5284280936454849
21,158,0.5284280936454849
22,159,0.5317725752508361
23,159,0.5317725752508361
24,159,0.5317725752508361
25,160,0.5351170568561873
26,162,0.5418060200668896
27,161,0.5384615384615384
28,162,0.5418060200668896
29,160,0.5351170568561873
30,161,0.5384615384615384
31,161,0.5384615384615384
