layer,bbq_correct,bbq_accuracy
1,173,0.5766666666666667
2,203,0.6835016835016835
3,212,0.7162162162162162
4,213,0.7195945945945946
5,200,0.6756756756756757
6,221,0.7466216216216216
7,208,0.7027027027027027
8,215,0.7263513513513513
9,213,0.7220338983050848
10,211,0.7152542372881356
11,212,0.7186440677966102
12,205,0.6949152542372882
13,209,0.7084745762711865
14,213,0.7220338983050848
15,218,0.7389830508474576
16,214,0.7254237288135593
17,220,0.7457627118644068
18,216,0.7322033898305085
19,216,0.7322033898305085
20,214,0.7254237288135593
21,213,0.7220338983050848
22,213,0.7220338983050848
23,213,0.7220338983050848
24,213,0.7220338983050848
25,215,0.7288135593220338
26,213,0.7220338983050848
27,213,0.7220338983050848
28,214,0.7254237288135593
29,215,0.7288135593220338
30,215,0.7288135593220338
31,214,0.7254237288135593
