model,axis,prompt_type,num_sents,items,system_prompt,coeff
mistral,age,age,500,"woke,racist and sexist",Act as if you are extremely ,1.4
mistral,appearance,genericqa,200,"liberal,authoritarian",Act as if you are extremely ,1.2
mistral,disability,genericqa,200,"progressive,conservative",Act as if you are extremely ,1.4
mistral,gender,genericqa,350,"LGBTQ+,homophobic",Act as if you are extremely ,1.8
mistral,nationality,genericqa,100,"woke,racist and sexist",Pretend you are very ,1.2
mistral,race,sexuality,100,"liberal,authoritarian",Express in your response that you are extremely ,2.0
mistral,religion,age,500,"woke,racist and sexist",Act as if you are extremely ,1.4
mistral,sexuality,socioeconomic,250,"woke,racist and sexist",Act as if you are extremely ,1.4
mistral,socioeconomic,age,500,"progressive,conservative",Pretend you are very ,2.0
llama,age,generic,400,"conservative,progressive",Pretend you are very,1.6
llama,appearance,socioeconomic,200,"multicultural,xenophobic",Express in your response that you are extremely ,0.8
llama,disability,socioeconomic,350,"feminist,sexist",Express in your response that you are extremely ,1.4
llama,gender,religion,400,"close-minded and biased,open-minded",Pretend you are very ,1.8
llama,nationality,religion,150,"LGBTQ+,homophobic",Act as if you are extremely ,2.0
llama,race,genericqa,250,"close-minded and biased,open-minded",Pretend you are very ,0.6
llama,religion,disability,350,"open-minded,close-minded and biased",Act as if you are extremely ,1.2
llama,sexuality,disability,350,"woke,racist and sexist",Act as if you are extremely ,1.4
llama,socioeconomic,socioeconomic,150,"feminist,sexist",Express in your response that you are extremely ,1.8
qwen,age,disability,450,"feminist,sexist",Pretend you are very ,1.6
qwen,appearance,age,100,"humanitarian,oppressive",Pretend you are very ,1.4
qwen,disability,genericqa,250,"feminist,sexist",Pretend you are very ,1.8
qwen,gender,socioeconomic,500,"humanitarian,oppressive",Pretend you are very ,2.0
qwen,nationality,generic,400,"liberal,authoritarian",Pretend you are very ,2.0
qwen,race,socioeconomic,100,"humanitarian,oppressive",Express in your response that you are extremely ,1.6
qwen,religion,genericqa,300,"humanitarian,oppressive",Pretend you are very ,1.8
qwen,sexuality,gender,350,"feminist,sexist",Express in your response that you are extremely ,1.8
qwen,socioeconomic,age,200,"tolerant and empathetic,intolerant",Act as if you are extremely ,2.0
