layer,bbq_correct,bbq_accuracy
1,94,0.31333333333333335
2,138,0.5130111524163569
3,133,0.4944237918215613
4,141,0.5261194029850746
5,138,0.5149253731343284
6,131,0.48880597014925375
7,143,0.5335820895522388
8,135,0.503731343283582
9,153,0.5708955223880597
10,150,0.5597014925373134
11,148,0.5522388059701493
12,131,0.48880597014925375
13,146,0.5447761194029851
14,144,0.5373134328358209
15,137,0.5111940298507462
16,146,0.5447761194029851
17,144,0.5373134328358209
18,140,0.5223880597014925
19,141,0.5261194029850746
20,141,0.5261194029850746
21,141,0.5261194029850746
22,141,0.5261194029850746
23,139,0.5186567164179104
24,140,0.5223880597014925
25,141,0.5261194029850746
26,138,0.5149253731343284
27,140,0.5223880597014925
28,140,0.5223880597014925
29,139,0.5186567164179104
30,140,0.5223880597014925
31,140,0.5223880597014925
