layer,bbq_correct,bbq_accuracy
1,111,0.37
2,157,0.5233333333333333
3,163,0.5469798657718121
4,135,0.45302013422818793
5,141,0.47315436241610737
6,148,0.4966442953020134
7,144,0.48322147651006714
8,157,0.5268456375838926
9,157,0.5268456375838926
10,156,0.5234899328859061
11,164,0.5503355704697986
12,162,0.5436241610738255
13,158,0.5302013422818792
14,156,0.5234899328859061
15,151,0.5067114093959731
16,153,0.5134228187919463
17,155,0.5201342281879194
18,154,0.5167785234899329
19,158,0.5302013422818792
20,161,0.540268456375839
21,156,0.5234899328859061
22,158,0.5302013422818792
23,159,0.5335570469798657
24,157,0.5268456375838926
25,157,0.5268456375838926
26,156,0.5234899328859061
27,157,0.5268456375838926
28,155,0.5201342281879194
29,156,0.5234899328859061
30,159,0.5335570469798657
31,158,0.5302013422818792
