layer,sep_score
1,0.6083333333333334
2,0.6416666666666667
3,0.7266666666666666
4,0.7333333333333334
5,0.7966666666666666
6,0.7866666666666667
7,0.7733333333333334
8,0.9466666666666667
9,0.9783333333333333
10,0.9133333333333333
11,0.8550000000000001
12,0.8516666666666668
13,0.7416666666666667
14,0.6733333333333333
15,0.6283333333333333
16,0.615
17,0.44833333333333336
18,0.6083333333333332
19,0.61
20,0.7316666666666667
21,0.6366666666666667
22,0.6916666666666667
23,0.7716666666666667
24,0.8099999999999999
25,0.8083333333333332
26,0.8183333333333334
27,0.8316666666666667
28,0.8550000000000001
29,0.8666666666666666
30,0.8833333333333334
31,0.8516666666666666
